Ward_Number,Zone,Zone_Chairperson,Councillor_Name,Address,Contact,Party,Committee,Sewerage_Stations,Street_Lights_Count,Water_Supply_Scheme
1,NORTH - ZONE II,Tmt. M. Vanitha,Dr. W. Savitha 1,"7/27(2), 2nd main street, new vilangudi, Madurai- 625018",+91 9344136741,DMK,Town Planning Committee,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
2,NORTH - ZONE II,Tmt. M. Vanitha,Tmt. A. Priya,"85,anna salai, koodal nagar, Madurai - 625018",+91 9965550894,DMK,Education Committee,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
3,EAST - ZONE I,Smt. O. Lakshmi,Shri. R. Sanjay,"3-16/30-1, south street, anaiyur, Madurai - 625 017",+91 9787348243,DMK,Works Committee,Part of North Zone network,4067.0,Mixed - North and South Zone
4,EAST - ZONE I,Smt. O. Lakshmi,Smt. K. Rekha,"11, karthik nagar, suganthi nagar extension, pattimedu, thapal thanthi nagar, anaiyur post, Madurai -17",+91 8667633640,DMK,Works Committee,Part of North Zone network,4067.0,Mixed - North and South Zone
5,EAST - ZONE I,Smt. O. Lakshmi,Tmt. C. Meena,"3/74, indian bank colony, 2nd street, narayanapuram, Madurai-14",+91 9655158866,DMK,Education Committee,Part of North Zone network,4067.0,Mixed - North and South Zone
6,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
7,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
8,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
9,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
10,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
11,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
12,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
13,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
14,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
15,NORTH - ZONE II,Tmt. M. Vanitha,Tmt. K. Rekha,"28, PTR nagar, Madurai - 625007",+91 9095377777,DMK,ZONE - II(NORTH) CHAIRPERSON,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
16,EAST - ZONE I,Smt. O. Lakshmi,Thiru. J. Kiran,"22, kanagavel nagar, pudur vandipathai, K.PUDUR, Madurai- 625007",+91 7200077900,DMK,Public Health Committee CHAIRPERSON,Part of North Zone network,4067.0,Mixed - North and South Zone
17,EAST - ZONE I,Smt. O. Lakshmi,Dr. M. Vanitha,"4/19, sethupathi nagar, kulamangalam main road, anaiyur, Madurai - 17",+91 9626855099,DMK,Works Committee CHAIRPERSON,Part of North Zone network,4067.0,Mixed - North and South Zone
18,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
19,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
20,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
21,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
22,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
23,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
