Street_Name,Street_ID
A K GOPALAN STREET,1
A1A1 ROAD S S COLONY,2
AA ROAD PANKAJAM COLONY,3
AANDI AMBALAM STREET,4
AARAPALAYAM D D ROAD (HOUSING BOARD STAFF QUARTERS),5
AARAPALAYAM MAIN ROAD,6
AARAPALAYAM MANJAMETTU CROSS STREET,7
AARAPALAYAM MANJAMETTU STREET,8
AARAPALAYAM MARAVAR 1ST LANE,9
AARAPALAYAM MARAVAR 2ND LANE,10
AARAPALAYAM PALLAR STREET,11
AARAPALAYAM PARAYAR STREET,12
AARAPALAYAM PILLAIMAR STREET,13
AARAPALAYAM ROAD,14
AARAPALAYAM THANNEER THOTTI QUARTERS,15
AARAPALAYAM VELAR STREET,16
AASAITHAMBI STREET,17
ABDUL GAFFARKHAN ROAD,18
ABDUL RAHMAN KHAN STREET,19
ABIMANNAN LANE,20
ABIMANNAN MELA LANE,21
ADAMSA SAHIB LANE,22
ADHI MOOLAM PILLAI LANE - 1,23
ADHI MOOLAM PILLAI LANE - 2,24
ADHI MOOLAM PILLAI LANE - 3,25
ADHI NARAYANAN PILLAI LANE,26
ADHIMOOLAM PILLAI AGRAHARAM,27
AGASTHIYAR STREET,28
AHIMSAPURAM 1ST STREET,29
AHIMSAPURAM 1ST STREET NEW VISALAM,30
AHIMSAPURAM 1ST STREET VISALAM,31
AHIMSAPURAM 2ND STREET,32
AHIMSAPURAM 2ND STREET NEW VISALAM,33
AHIMSAPURAM 2ND STREET VISALAM,34
AHIMSAPURAM 3RD STREET,35
AHIMSAPURAM 3RD STREET NEW VISALAM,36
AHIMSAPURAM 3RD STREET VISALAM,37
AHIMSAPURAM 4TH STREET NEW VISALAM,38
AHIMSAPURAM 5TH STREET NEW VISALAM,39
AHIMSAPURAM 6TH STREET,40
AHIMSAPURAM 6TH STREET NEW VISALAM,41
AHIMSAPURAM 6TH STREET VISALAM,42
"AHIMSAPURAM 7TH STREET (1,2 & 30 - END)",43
AHIMSAPURAM 7TH STREET (3 - 29),44
AHIMSAPURAM 7TH STREET NEW VISALAM,45
AHIMSAPURAM 7TH STREET VISALAM,46
"AHIMSAPURAM 8TH STREET (1, 35 - END)",47
AHIMSAPURAM 8TH STREET (2 - 34),48
AHIMSAPURAM 8TH STREET NEW VISALAM,49
AHIMSAPURAM 8TH STREET VISALAM,50
AHIMSAPURAM WEST 4TH STREET,51
AHIMSAPURAM WEST 4TH STREET VISALAM,52
AHIMSAPURAM WEST 5TH LANE VISALAM,53
AHIMSAPURAM WEST 5TH STREET,54
AHIMSAPURAM WEST 5TH STREET VISALAM,55
AHIMSAPURAM WEST STREET,56
AHIMSAPURAM WEST STREET 6TH LANE,57
AHIMSAPURAM WEST STREET NEW VISALAM,58
AHIMSAPURAM WEST STREET VISALAM,59
AKKASALAI PILLAIYAR KOVIL STREET,60
AKKAYANAICKER THOPPU STREET,61
ALAGARADI 2ND LANE,62
ALAGARADI 3RD LANE,63
ALAGARADI 4TH LANE,64
ALAGARADI 5TH LANE,65
ALAGU SUNDARAM NAGAR,66
ALAVUKKARA STREET,67
ALGARADI 1ST LANE,68
AMBALAKKARAR LANE,69
AMBEDKAR NAGAR BLOCK NO. 1,70
AMBEDKAR NAGAR BLOCK NO. 2,71
AMBETHKAR COLONY,72
AMERICAM MISSION SCHOOL 1ST STREET,73
AMERICAN COLLEGE SQUARE,74
AMERICAN MISSION LANE - 1,75
AMERICAN MISSION LANE - 2,76
AMERICAN MISSION SCHOOL STREET,77
AMMACHIYATHA KOVIL STREET,78
AMMAIYAPPAPILLAI STREET,79
AMMAN SANNADHY STREET,80
AMMATCHIYAR KOVIL STREET,81
ANANDHA BHAIRAVA PILLAI LANE,82
ANDALPURAM EAST STREET,83
ANDALPURAM SOUTH STREET,84
ANDHANERI,85
ANDHANERI KANMAIKKARAI,86
ANDHARVAANAM THANNEER PANDHAL 1ST LANE,87
ANDHARVAANAM THANNEER PANDHAL 2ND LANE,88
ANGAYARKANNI STREET,89
ANNA CROSS STREET,90
ANNA KUZHI MANDAPAM LANE,91
ANNA MAIN STREET,92
ANNA NAGAR,93
ANNA SALAI (80 ROAD)(BYPASS MAIN),94
ANNA STREET - 1,95
ANNA STREET - 2,96
ANNATHURAI STREET,97
ANSARI NAGAR 1ST STREET,98
ANSARI NAGAR 20 WEST STREET,99
ANSARI NAGAR 2ND STREET,100
ANSARI NAGAR 3RD STREET,101
ANSARI NAGAR 4TH STREET,102
ANSARI NAGAR 5TH STREET,103
ANSARI NAGAR 6TH STREET,104
ANSARI NAGAR 7TH STREET,105
ANSARI NAGAR EAST 20 STREET,106
ANSARI NAGAR EAST CROSS STREET,107
ANSARI NAGAR WEST CROSS STREET,108
ANTHONI MOOPPANAR LANE,109
ANTHONIYAR KOVIL LANE,110
ANTHONIYAR KOVIL STREET,111
ANUPANADI NADU STREET,112
ANUPANADI THEPPAKULAM ROAD,113
ANUPPANADI AA ROAD,114
ANUPPANADI BB ROAD,115
ANUPPANADI KEEZHA STREET,116
ANUPPANADI MELA STREET,117
ANUPPANADI NORTH STREET,118
ANUPPANADI ROAD,119
ANUPPANADI SOUTH STREET,120
ANUPPANADI VAIKKAL STREET,121
APPAVU PILLAI LANE - 1,122
APPAVU PILLAI LANE - 2,123
ARAPALAYAM D D ROAD,124
ARAPALAYAM KANMAI EXT. ROAD,125
"ARAPALAYAM MAIN ROAD EXT. 1-54,129-147",126
ARASA KIZHAVAN STREET,127
ARASAMARATHU LANE,128
ARASINAR COLONY,129
